abseiling
air drumming
anchoring boat
applauding
applying cream
archery
arm wrestling
arranging flowers
assembling computer
auctioning
baby waking up
baking cookies
bandaging
barbequing
bartending
beatboxing
bee keeping
bell ringing
bending back
bending metal
biking through snow
blasting sand
bleaching hair
blending fruit
blowing glass
blowing leaves
blowing nose
blowing out candles
bobsledding
bookbinding
bouncing on trampoline
bowling
braiding hair
breading or breadcrumbing
breakdancing
breaking boards
breathing fire
brush painting
brushing hair
brushing teeth
building cabinet
building shed
bungee jumping
busking
caber toss
calculating
calligraphy
canoeing or kayaking
capoeira
capsizing
card throwing
carrying baby
cartwheeling
carving pumpkin
casting fishing line
catching fish
catching or throwing frisbee
catching or throwing softball
celebrating
changing oil
changing wheel
checking tires
cheerleading
chewing gum
chopping wood
clapping
clay pottery making
cleaning floor
cleaning gutters
cleaning pool
cleaning shoes
cleaning windows
climbing a rope
climbing ladder
climbing tree
contact juggling
cooking chicken
cooking egg
cooking on campfire
cooking sausages
counting money
cracking neck
crawling baby
crossing river
crowd surfing
crying
cpr
cracking knuckles
crushing an apple
cutting nails
cutting pineapple
cutting watermelon
dancing ballet
dancing charleston
dancing gangnam style
dancing macarena
deadlifting
decorating baked goods
delivering mail
digging
dining
disc golfing
diving cliff
dodging
doing aerobics
doing laundry
doing nails
drawing
dribbling basketball
drinking
drinking beer
drinking shots
driving car
driving tractor
drooling
drop kicking
dropping coin
drumming fingers
dumpster diving
dunking basketball
dying hair
eating burger
eating cake
eating carrots
eating chips
eating donuts
eating hotdog
eating ice cream
eating spaghetti
eating watermelon
egg hunting
exercising arm
exercising with an exercise ball
extinguishing fire
faceplanting
feeding birds
feeding fish
feeding goats
filling eyebrows
finger snapping
fixing hair
flapping wings
flipping pancake
flying kite
folding clothes
folding napkins
folding paper
front raises
frying vegetables
gargling
geocaching
getting a haircut
getting a tattoo
giving or receiving award
golf chipping
golf driving
golf putting
gospel singing in church
hammering
hand washing
headbanging
headbutting
high fiving
high jump
hitting baseball
hockey stop
holding snake
hopscotch
hoverboarding
hugging
hula hooping
hurdling
hurling (sport)
ice climbing
ice fishing
ice skating
ironing
javelin throw
jaywalking
jetskiing
jogging
juggling balls
juggling fire
juggling soccer ball
jumping into pool
jumpstyle dancing
kicking field goal
kicking soccer ball
kissing
knitting
krumping
land sailing
laughing
laying bricks
leading horse
learning to ride a bike
legging
licking
lifting hat
lighting candle
lighting fire
long jump
luge
making a cake
making a sandwich
making bed
making jewelry
making pizza
making snowman
making sushi
making tea
marching
marriage proposal
massaging back
massaging feet
massaging legs
massaging person's head
milking cow
mopping floor
motorcycling
moving furniture
mowing lawn
news anchoring
opening bottle
opening present
paragliding
parasailing
parkour
passing American football (in game)
passing American football (not in game)
passing soccer ball
peeling apples
peeling potatoes
petting animal (not cat)
petting cat
picking fruit
ping-pong
pinching
pirouetting
planing wood
planting trees
plastering
playing accordion
playing acoustic guitar
playing badminton
playing bagpipes
playing basketball
playing bass guitar
playing bayblade
playing cards
playing cello
playing checkers
playing chess
playing clarinet
playing controller
playing cymbals
playing didgeridoo
playing dominoes
playing drums
playing electric guitar
playing flute
playing gong
playing harmonica
playing harp
playing ice hockey
playing keyboard
playing kickball
playing laser tag
playing maracas
playing monopoly
playing ocarina
playing organ
playing paintball
playing pan flute
playing piano
playing piccolo
playing poker
playing recorder
playing saxophone
playing scrabble
playing shuffleboard
playing sitar
playing slot machine
playing squash or racquetball
playing tennis
playing trombone
playing trumpet
playing ukulele
playing violin
playing volleyball
playing with dolls
playing xylophone
pole vault
polishing metal
popping balloons
pouring beer
pouring milk
pouring wine
preparing salad
presenting weather forecast
pretending to be a statue
promposing
pull ups
pumping fist
pumping gas
punching bag
punching person (boxing)
push up
pushing car
pushing cart
pushing wheelchair
reading book
reading newspaper
recording music
repairing phone
ripping paper
rock climbing
rock scissors paper
roller skating
rolling pastry
running on treadmill
sailing
salsa dancing
sanding floor
sanding wood
sausage making
sawing wood
scaling fish
scrambling eggs
scuba diving
setting table
sewing
shaking hands
shaking head
sharpening knives
sharpening pencil
shaving head
shaving legs
shearing sheep
shining shoes
shooting basketball
shooting goal (soccer)
shot put
shoveling snow
shredding paper
shuffling cards
shuffling feet
side kick
sign language interpreting
singing
sipping cup
skateboarding
skiing (not slalom or crosscountry)
skiing crosscountry
skiing slalom
skipping rope
skydiving
slapping
sled dog racing
sleeping
slicing onion
smashing
smelling feet
smoking
smoking hookah
snatch weight lifting
sneezing
sniffing
snorkeling
snowboarding
snowkiting
snowmobiling
somersaulting
splashing water
spray painting
spraying
springboard diving
squat
staring
stealing
sticking tongue out
stretching arm
stretching leg
sucking lolly
surfing crowd
surfing water
sweeping floor
swimming backstroke
swimming breast stroke
swimming butterfly stroke
swimming front crawl
swing dancing
swinging baseball bat
swinging on something
sword fighting
sword swallowing
tackling
tai chi
taking a shower
tango dancing
tap dancing
tapping guitar
tapping pen
tasting beer
tasting food
tasting wine
testifying
texting
throwing axe
throwing ball
throwing discus
tickling
tobogganing
training dog
trapezing
trimming or shaving beard
trimming trees
triple jump
tying bow tie
tying knot (not on a tie)
tying necktie
tying shoe laces
unboxing
unloading truck
unpackaging
unraveling yarn
using computer
using remote controller (not gaming)
using segway
vault
waiting in line
waking up
walking the dog
washing dishes
washing feet
washing hair
washing hands
water skiing
water sliding
watering plants
waving hand
wearing face mask
wearing headtexture
weaving basket
welding
whipping
whistling
windsurfing
winking
woodworking
wrapping present
writing
yawning
yoga
ziplining
zumba
